system:index,VH,VV,angle,.geo
0,-17.85251905829027,-11.493062028632792,37.250083923339844,"{""type"":""Point"",""coordinates"":[80.4755791670325,16.500035828478147]}"
1,-20.60246221857341,-9.664181051146326,37.046836853027344,"{""type"":""Point"",""coordinates"":[80.49678827265505,16.449596294454214]}"
2,-19.71034482290672,-10.7468598966928,36.81159210205078,"{""type"":""Point"",""coordinates"":[80.53848906386439,16.48046894101616]}"
3,-18.86639663169902,-8.800903818418245,37.043479919433594,"{""type"":""Point"",""coordinates"":[80.51282463736982,16.529302963239676]}"
4,-22.292952430640554,-12.822262119305805,37.07954406738281,"{""type"":""Point"",""coordinates"":[80.4958646897274,16.47015263518029]}"
5,-18.53925846200644,-9.703947802971676,37.27301025390625,"{""type"":""Point"",""coordinates"":[80.4669205264633,16.47314717798092]}"
6,-16.15979339257435,-10.526123832544577,37.00081253051758,"{""type"":""Point"",""coordinates"":[80.51062641636464,16.484754219639946]}"
7,-15.220797876024896,-10.295264727930107,36.907623291015625,"{""type"":""Point"",""coordinates"":[80.52086554850074,16.464749382811885]}"
8,-17.42672262418789,-10.758740227284854,37.20631790161133,"{""type"":""Point"",""coordinates"":[80.4878116515909,16.52859748913966]}"
9,-17.770682745375048,-11.687437079033675,37.22038269042969,"{""type"":""Point"",""coordinates"":[80.48327171739336,16.516026144458223]}"
10,-18.91140013691215,-10.022250997056137,37.24839782714844,"{""type"":""Point"",""coordinates"":[80.47608962358174,16.500982477582063]}"
11,-15.3818949559344,-9.498844290846439,37.112510681152344,"{""type"":""Point"",""coordinates"":[80.49424647264833,16.48764333843026]}"
12,-19.22954907640421,-13.251750070300355,37.19798278808594,"{""type"":""Point"",""coordinates"":[80.48473965411581,16.506241787655956]}"
13,-16.075227838074277,-10.073942868237177,37.15243148803711,"{""type"":""Point"",""coordinates"":[80.49708876283904,16.533901827871585]}"
14,-17.37513451878013,-11.008667396677943,36.794471740722656,"{""type"":""Point"",""coordinates"":[80.54120691794192,16.481024677749975]}"
15,-22.336913680547163,-12.063979204641608,37.32550811767578,"{""type"":""Point"",""coordinates"":[80.46107162435639,16.484511021783906]}"
16,-18.297687339626634,-9.314621272711609,37.22808837890625,"{""type"":""Point"",""coordinates"":[80.47215578701955,16.464617068817713]}"
17,-20.328949974078423,-12.106731826219614,36.932613372802734,"{""type"":""Point"",""coordinates"":[80.51580046518181,16.457872656558337]}"
18,-17.94765589732809,-10.988277823947433,37.37368392944336,"{""type"":""Point"",""coordinates"":[80.45906661462942,16.51238337696443]}"
19,-19.84863958497874,-11.131699504089964,36.78895568847656,"{""type"":""Point"",""coordinates"":[80.54233054639678,16.482677749698308]}"
20,-19.09692492704449,-11.455458656290006,37.133209228515625,"{""type"":""Point"",""coordinates"":[80.49758064169633,16.521049286762832]}"
21,-15.469284152668118,-10.029620121363003,36.926246643066406,"{""type"":""Point"",""coordinates"":[80.51934261732768,16.47140634304366]}"
22,-20.42930541006543,-13.157714389110797,37.11106491088867,"{""type"":""Point"",""coordinates"":[80.49523525185631,16.491541809428348]}"
23,-17.0495281077831,-9.991417791592893,37.132179260253906,"{""type"":""Point"",""coordinates"":[80.4907387994599,16.485046177888695]}"
24,-18.41474868765522,-10.389267760515416,36.9267463684082,"{""type"":""Point"",""coordinates"":[80.51705940332688,16.45980644072357]}"
25,-18.318811702341968,-10.892430663231899,37.07249450683594,"{""type"":""Point"",""coordinates"":[80.5040257228048,16.506660266231282]}"
26,-18.110978180720664,-12.137740983043074,36.839134216308594,"{""type"":""Point"",""coordinates"":[80.53507574997698,16.484290425590363]}"
27,-15.290176615988276,-9.136252033003366,36.915958404541016,"{""type"":""Point"",""coordinates"":[80.52975230289242,16.51691890871844]}"
28,-18.050324776944255,-12.064597407866549,37.13328552246094,"{""type"":""Point"",""coordinates"":[80.48975012550025,16.48077533878848]}"
